 (1.015719439967425419e+00+0.000000000000000000e+00j)  (-1.465871097537435911e-03+2.168404344971008868e-19j)  (-1.384075048566623615e-03+1.734723475976807094e-18j)  (1.552548657385331016e-03-8.673617379884035472e-19j)  (1.635292980639766651e-03-1.084202172485504434e-18j)  (1.722170993866090202e-03-4.336808689942017736e-19j)  (-1.530317724706046914e-03+0.000000000000000000e+00j)  (-1.647015149918538025e-03-2.168404344971008868e-19j)  (-1.489335272902036740e-03-2.168404344971008868e-19j)  (-1.672177122435008698e-03+2.168404344971008868e-19j)  (1.652018739796634866e-03+2.168404344971008868e-19j)  (-1.717709913715742163e-03-1.084202172485504434e-18j)  (1.391530669227488727e-03-2.168404344971008868e-19j)  (1.600589781088725301e-03+2.168404344971008868e-19j)  (1.583403728596169662e-03-1.301042606982605321e-18j)  (-1.407710484958572816e-03+4.336808689942017736e-19j)
 (-1.465871097537435911e-03-2.168404344971008868e-19j)  (9.371113050198410788e-01+0.000000000000000000e+00j)  (-1.665613548002962269e-03-2.168404344971008868e-19j)  (-1.310270275822247952e-03-2.168404344971008868e-19j)  (1.182879342494398689e-03+4.336808689942017736e-19j)  (-1.469366976112606270e-03+0.000000000000000000e+00j)  (1.180708583054217251e-03-1.084202172485504434e-19j)  (-1.541595496811004216e-03-6.505213034913026604e-19j)  (1.353104035223405728e-03+0.000000000000000000e+00j)  (-1.407399511890188156e-03+0.000000000000000000e+00j)  (1.651011687349429515e-03+2.168404344971008868e-19j)  (-1.443339871205541599e-03-6.505213034913026604e-19j)  (-1.554829983182832651e-03+2.168404344971008868e-19j)  (1.499519825464875212e-03+2.168404344971008868e-19j)  (-1.338473413992714639e-03+2.168404344971008868e-19j)  (1.555407166536432618e-03+2.168404344971008868e-19j)
 (-1.384075048566623615e-03-1.734723475976807094e-18j)  (-1.665613548002962269e-03+2.168404344971008868e-19j)  (1.016245078468167140e+00+0.000000000000000000e+00j)  (-1.579755968822588738e-03-8.673617379884035472e-19j)  (-1.733051974871685540e-03-4.336808689942017736e-19j)  (-1.535040260980084434e-03-6.505213034913026604e-19j)  (-1.590231599472823488e-03-6.505213034913026604e-19j)  (-1.746246166883594743e-03-1.951563910473907981e-18j)  (1.665191286303099394e-03+1.084202172485504434e-18j)  (1.449151026267071068e-03+6.505213034913026604e-19j)  (1.739067627126748925e-03+8.673617379884035472e-19j)  (1.672683983577885700e-03+4.336808689942017736e-19j)  (-1.747663604707967938e-03-2.168404344971008868e-19j)  (1.651953171305460110e-03+1.517883041479706208e-18j)  (-1.539863052217735817e-03-4.336808689942017736e-19j)  (1.729945944914361476e-03+1.084202172485504434e-18j)
 (1.552548657385331016e-03+8.673617379884035472e-19j)  (-1.310270275822247952e-03+2.168404344971008868e-19j)  (-1.579755968822588738e-03+8.673617379884035472e-19j)  (1.015226365145625476e+00+0.000000000000000000e+00j)  (-1.477812747606662780e-03+0.000000000000000000e+00j)  (-1.648339724650540062e-03-4.336808689942017736e-19j)  (-1.346978924735596234e-03-2.168404344971008868e-19j)  (1.455478454427492664e-03-4.336808689942017736e-19j)  (-1.398360154795014448e-03+2.168404344971008868e-19j)  (1.596826981774609067e-03+1.084202172485504434e-18j)  (-1.574935205640831584e-03-2.168404344971008868e-19j)  (1.535653213849298834e-03+0.000000000000000000e+00j)  (1.330880736362352818e-03-4.336808689942017736e-19j)  (1.528166565423359899e-03+0.000000000000000000e+00j)  (1.532945546417775577e-03+0.000000000000000000e+00j)  (1.713985731619216066e-03-2.168404344971008868e-19j)
 (1.635292980639766651e-03+1.084202172485504434e-18j)  (1.182879342494398689e-03-4.336808689942017736e-19j)  (-1.733051974871685540e-03+4.336808689942017736e-19j)  (-1.477812747606662780e-03+0.000000000000000000e+00j)  (9.377083492823975464e-01+0.000000000000000000e+00j)  (-1.545303981338303628e-03-8.673617379884035472e-19j)  (1.240743462258071762e-03-2.168404344971008868e-19j)  (-1.471588673519859912e-03-8.673617379884035472e-19j)  (1.539024087209371833e-03-6.505213034913026604e-19j)  (1.585384650291233417e-03+0.000000000000000000e+00j)  (1.465012713118918862e-03-6.505213034913026604e-19j)  (1.651121864333368518e-03-4.336808689942017736e-19j)  (-1.596862694157546222e-03-2.168404344971008868e-19j)  (1.409825818765856296e-03+0.000000000000000000e+00j)  (-1.529807944128247802e-03-2.168404344971008868e-19j)  (1.593998689278183474e-03-2.168404344971008868e-19j)
 (1.722170993866090202e-03+4.336808689942017736e-19j)  (-1.469366976112606270e-03+0.000000000000000000e+00j)  (-1.535040260980084434e-03+6.505213034913026604e-19j)  (-1.648339724650540062e-03+4.336808689942017736e-19j)  (-1.545303981338303628e-03+8.673617379884035472e-19j)  (1.015232719942329664e+00+0.000000000000000000e+00j)  (1.531108473267670921e-03-2.168404344971008868e-19j)  (1.537825944294902731e-03+2.168404344971008868e-19j)  (1.456575452733481447e-03+2.168404344971008868e-19j)  (1.550750853150123293e-03+0.000000000000000000e+00j)  (-1.521595029660974784e-03-4.336808689942017736e-19j)  (-1.338556359273996264e-03+0.000000000000000000e+00j)  (-1.418665349315578359e-03+2.168404344971008868e-19j)  (-1.343994928902083122e-03+2.168404344971008868e-19j)  (1.345613112591151090e-03+2.168404344971008868e-19j)  (1.519399927220361959e-03-2.168404344971008868e-19j)
 (-1.530317724706046914e-03+0.000000000000000000e+00j)  (1.180708583054217251e-03+1.084202172485504434e-19j)  (-1.590231599472823488e-03+6.505213034913026604e-19j)  (-1.346978924735596234e-03+2.168404344971008868e-19j)  (1.240743462258071762e-03+2.168404344971008868e-19j)  (1.531108473267670921e-03+2.168404344971008868e-19j)  (9.374382852288173362e-01+0.000000000000000000e+00j)  (-1.720327613928020628e-03+2.168404344971008868e-19j)  (1.289616045176979718e-03+0.000000000000000000e+00j)  (-1.471263667443318060e-03-2.168404344971008868e-19j)  (1.614685763360363454e-03-6.505213034913026604e-19j)  (1.511622739595168755e-03-6.505213034913026604e-19j)  (-1.501441982070089590e-03+4.336808689942017736e-19j)  (1.558577791723102235e-03-4.336808689942017736e-19j)  (1.523301655027453193e-03-8.673617379884035472e-19j)  (1.614956239250190696e-03-8.673617379884035472e-19j)
 (-1.647015149918538025e-03+2.168404344971008868e-19j)  (-1.541595496811004216e-03+6.505213034913026604e-19j)  (-1.746246166883594743e-03+1.951563910473907981e-18j)  (1.455478454427492664e-03+4.336808689942017736e-19j)  (-1.471588673519859912e-03+8.673617379884035472e-19j)  (1.537825944294902731e-03-2.168404344971008868e-19j)  (-1.720327613928020628e-03-2.168404344971008868e-19j)  (1.016066046701790349e+00+0.000000000000000000e+00j)  (1.531754590752969301e-03+4.336808689942017736e-19j)  (-1.603452735837832942e-03-2.168404344971008868e-19j)  (1.868920044475387392e-03+0.000000000000000000e+00j)  (1.520778210454647389e-03-4.336808689942017736e-19j)  (-1.741961295207015937e-03+4.336808689942017736e-19j)  (1.676566473343305951e-03-6.505213034913026604e-19j)  (1.390439322948863873e-03-2.168404344971008868e-19j)  (1.738714459218426885e-03-6.505213034913026604e-19j)
 (-1.489335272902036740e-03+2.168404344971008868e-19j)  (1.353104035223405728e-03+0.000000000000000000e+00j)  (1.665191286303099394e-03-1.084202172485504434e-18j)  (-1.398360154795014448e-03-2.168404344971008868e-19j)  (1.539024087209371833e-03+6.505213034913026604e-19j)  (1.456575452733481447e-03-2.168404344971008868e-19j)  (1.289616045176979718e-03+0.000000000000000000e+00j)  (1.531754590752969301e-03-4.336808689942017736e-19j)  (1.015078272210184540e+00+0.000000000000000000e+00j)  (-1.540123326208181790e-03+2.168404344971008868e-19j)  (-1.518681191188225865e-03+4.336808689942017736e-19j)  (-1.608538062259188325e-03+0.000000000000000000e+00j)  (-1.263655311906921328e-03+2.168404344971008868e-19j)  (1.451799791425509908e-03-1.084202172485504434e-18j)  (1.722239990535625286e-03+0.000000000000000000e+00j)  (1.388037089240014635e-03-2.168404344971008868e-19j)
 (-1.672177122435008698e-03-2.168404344971008868e-19j)  (-1.407399511890188156e-03+0.000000000000000000e+00j)  (1.449151026267071068e-03-6.505213034913026604e-19j)  (1.596826981774609067e-03-1.084202172485504434e-18j)  (1.585384650291233417e-03+0.000000000000000000e+00j)  (1.550750853150123293e-03+0.000000000000000000e+00j)  (-1.471263667443318060e-03+2.168404344971008868e-19j)  (-1.603452735837832942e-03+2.168404344971008868e-19j)  (-1.540123326208181790e-03-2.168404344971008868e-19j)  (9.376839772410026086e-01+0.000000000000000000e+00j)  (1.602757716472621476e-03-4.336808689942017736e-19j)  (-1.522573156811022439e-03-4.336808689942017736e-19j)  (-1.457410845161737599e-03+4.336808689942017736e-19j)  (-1.157178413406809896e-03+4.336808689942017736e-19j)  (1.525143699001069988e-03-4.336808689942017736e-19j)  (1.454733074475349002e-03-4.336808689942017736e-19j)
